sitename,county,aqi,pollutant,status,co,pm2.5,pm2.5_avg,nox
崙背,雲林縣,66,細懸浮微粒,普通,0.42,12.0,17.8,15.4
斗六,雲林縣,75,細懸浮微粒,普通,0.35,19.0,21.1,22.1
南投,南投縣,66,細懸浮微粒,普通,0.35,16.0,17.9,16.6
二林,彰化縣,48,,良好,0.23,4.0,8.8,10.6
線西,彰化縣,25,,良好,0.19,5.0,3.6,7.9
彰化,彰化縣,48,,良好,0.35,7.0,7.7,21.9
西屯,台中市,35,,良好,0.22,9.0,8.6,12.8
忠明,台中市,48,,良好,0.4,11.0,10.2,22.4
大里,台中市,52,二氧化氮,普通,0.55,7.0,7.7,34.2
沙鹿,台中市,23,,良好,0.2,3.0,5.2,10.6
豐原,台中市,41,,良好,0.3,14.0,10.2,12.3
三義,苗栗縣,24,,良好,0.17,3.0,3.1,4.2
苗栗,苗栗縣,26,,良好,0.24,3.0,3.5,9.1
頭份,苗栗縣,27,,良好,0.2,1.0,4.5,10.8
新竹,新竹市,26,,良好,0.26,4.0,6.1,12.4
竹東,新竹縣,28,,良好,0.16,0.0,2.0,5.2
湖口,新竹縣,23,,良好,0.18,1.0,3.2,7.7
龍潭,桃園市,24,,良好,0.2,3.0,3.0,10.1
平鎮,桃園市,35,,良好,0.29,11.0,8.6,13.9
觀音,桃園市,28,,良好,0.11,4.0,6.3,6.0
大園,桃園市,26,,良好,0.18,2.0,5.4,12.5
桃園,桃園市,33,,良好,0.3,7.0,7.0,15.4
大同,台北市,58,二氧化氮,普通,0.58,8.0,8.9,63.9
松山,台北市,50,,良好,0.22,6.0,7.0,25.6
古亭,台北市,26,,良好,0.22,3.0,4.9,12.2
萬華,台北市,48,,良好,0.27,4.0,5.6,23.3
中山,台北市,48,,良好,0.31,7.0,8.0,24.0
士林,台北市,27,,良好,0.16,4.0,4.1,6.5
淡水,新北市,27,,良好,0.25,4.0,6.6,13.5
林口,新北市,31,,良好,0.24,4.0,6.4,14.9
菜寮,新北市,31,,良好,0.25,6.0,4.0,14.8
新莊,新北市,31,,良好,0.23,4.0,5.8,14.4
板橋,新北市,48,,良好,0.31,10.0,7.2,22.9
土城,新北市,38,,良好,0.32,0.0,2.5,17.4
新店,新北市,26,,良好,0.22,5.0,4.5,12.3
汐止,新北市,33,,良好,0.18,5.0,7.7,15.7
基隆,基隆市,33,,良好,0.15,2.0,5.3,4.9
嘉義（東區）,嘉義市,71,細懸浮微粒,普通,0.43,16.0,19.8,31.0
屏東(枋山),屏東縣,54,細懸浮微粒,普通,0.21,4.0,13.6,4.9
臺南（南化）,台南市,60,細懸浮微粒,普通,0.29,16.0,15.8,11.0
新北(樹林),新北市,52,二氧化氮,普通,0.39,8.0,8.5,34.1
屏東（琉球）,屏東縣,50,,良好,0.27,10.0,12.4,9.7
南投（鹿谷）,南投縣,52,細懸浮微粒,普通,0.3,17.0,12.8,10.8
高雄（湖內）,高雄市,67,細懸浮微粒,普通,0.26,16.0,18.3,16.0
宜蘭（三星）,宜蘭縣,29,,良好,0.12,0.0,1.9,1.8
林森,台南市,71,懸浮微粒,普通,0.53,13.0,15.7,24.3
員林,彰化縣,53,二氧化氮,普通,0.39,14.0,12.9,27.5
大城,彰化縣,50,,良好,0.26,14.0,11.9,16.3
富貴角,新北市,56,細懸浮微粒,普通,0.05,22.0,14.2,0.5
麥寮,雲林縣,59,懸浮微粒,普通,0.31,11.0,9.9,19.3
關山,台東縣,28,,良好,0.21,5.0,4.2,5.6
馬公,澎湖縣,52,懸浮微粒,普通,0.16,12.0,11.0,2.7
金門,金門縣,79,細懸浮微粒,普通,0.27,21.0,22.6,11.8
馬祖,連江縣,66,細懸浮微粒,普通,0.18,11.0,17.9,5.8
